epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,2050.76,0.12147,7.71576,0.21965,0.10792,0.88386,1,1,0.995,0.97643,0.03571,0.03571,0.01925,0.00375,0.25439,8.47988,0.17368,0.31008,0.3904,0.000332457,0.000332457,0.000332457
94,2073.14,0.11826,7.72654,0.22733,0.10216,0.8675,0.99909,1,0.995,0.99402,0.03568,0.03571,0.01828,0.00361,0.27393,8.49721,0.17216,0.30358,0.37444,0.000322778,0.000322778,0.000322778
95,2095.42,0.11941,7.70896,0.22331,0.10083,0.88591,0.99911,1,0.995,0.995,0.03568,0.03571,0.0198,0.00664,0.26667,8.55355,0.16943,0.28772,0.38406,0.00031318,0.00031318,0.00031318
96,2117.77,0.11478,7.6946,0.22199,0.09944,0.87996,1,1,0.995,0.995,0.03571,0.03571,0.01849,0.00552,0.26043,8.43795,0.17331,0.26363,0.38415,0.000303665,0.000303665,0.000303665
97,2140,0.11716,7.69379,0.22288,0.09976,0.88583,1,1,0.995,0.995,0.03571,0.03571,0.01849,0.00458,0.25316,8.53263,0.16926,0.24082,0.35339,0.000294239,0.000294239,0.000294239
98,2162.37,0.11513,7.71711,0.22689,0.09829,0.87809,0.99922,1,0.995,0.995,0.03567,0.03571,0.01819,0.00453,0.2327,8.49677,0.16503,0.24438,0.33558,0.000284906,0.000284906,0.000284906
99,2184.69,0.11186,7.61225,0.22719,0.09633,0.87612,1,1,0.995,0.995,0.03571,0.03571,0.01849,0.00458,0.2818,8.5409,0.16645,0.28491,0.3508,0.000275668,0.000275668,0.000275668
100,2207.02,0.11289,7.6787,0.22572,0.09766,0.874,0.99915,1,0.995,0.995,0.03567,0.03571,0.0179,0.00622,0.317,8.4877,0.16998,0.28838,0.40656,0.000266532,0.000266532,0.000266532
101,2229.31,0.1121,7.61021,0.21924,0.09605,0.87155,0.99905,1,0.995,0.995,0.03568,0.03571,0.01762,0.00525,0.27826,8.47863,0.16929,0.3108,0.36908,0.0002575,0.0002575,0.0002575
102,2251.64,0.11451,7.64973,0.22578,0.09788,0.87887,0.99878,1,0.995,0.99054,0.05349,0.05357,0.02735,0.00537,0.24685,8.4107,0.16312,0.29388,0.38081,0.000248577,0.000248577,0.000248577
